,Genre,Detector,Metric,Value,CI Lower,CI Upper,True Positives,False Positives,Total Detected as AI,False Negatives,Total AI
0,amazon review,pengram,Precision,0.9946808510638298,0.9808158856093299,0.998540083470402,374,2.0,376.0,,
1,amazon review,pengram,Recall,0.9396984924623115,0.9118441858445681,0.9591460823750525,374,,,24.0,398.0
2,blog,pengram,Precision,1.0,0.9921255999234248,0.9999999999999998,484,0.0,484.0,,
3,blog,pengram,Recall,0.9738430583501007,0.9557662051337815,0.9846511499091493,484,,,13.0,497.0
4,news,pengram,Precision,0.9661971830985916,0.9501957595352846,0.9771810295540755,686,24.0,710.0,,
5,news,pengram,Recall,0.9942028985507246,0.9851901010623534,0.9977433793889002,686,,,4.0,690.0
6,restaurant review,pengram,Precision,1.0,0.9894419431113063,0.9999999999999998,360,0.0,360.0,,
7,restaurant review,pengram,Recall,0.9326424870466321,0.9031364160783703,0.9536221262541471,360,,,26.0,386.0
8,resume,pengram,Precision,1.0,0.9910002678012871,1.0,423,0.0,423.0,,
9,resume,pengram,Recall,1.0,0.9910002678012871,1.0,423,,,0.0,423.0
10,unknown,pengram,Precision,1.0,0.4385029682449545,1.0,3,0.0,3.0,,
11,unknown,pengram,Recall,1.0,0.4385029682449545,1.0,3,,,0.0,3.0
