,Genre,Detector,Metric,Value,CI Lower,CI Upper,True Positives,False Positives,Total Detected as AI,False Negatives,Total AI
0,amazon review,gptzero,Precision,0.9846938775510204,0.9559725478180302,0.9947811202207711,193,3.0,196.0,,
1,amazon review,gptzero,Recall,0.9747474747474747,0.9422576306224986,0.9891664737138152,193,,,5.0,198.0
2,amazon review,originality,Precision,0.9774436090225563,0.9357817301552714,0.9922995771801788,130,3.0,133.0,,
3,amazon review,originality,Recall,1.0,0.9712984388055687,1.0000000000000002,130,,,0.0,130.0
4,amazon review,pengram,Precision,0.9950248756218906,0.9723617968398507,0.9991212278645991,200,1.0,201.0,,
5,amazon review,pengram,Recall,1.0,0.9811546736227333,1.0,200,,,0.0,200.0
6,amazon review,roberta-base-detector,Precision,0.5,0.15003898915214947,0.8499610108478506,2,2.0,4.0,,
7,amazon review,roberta-base-detector,Recall,0.01,0.0027466581335444384,0.0357217617161768,2,,,198.0,200.0
8,blog,gptzero,Precision,0.9800995024875622,0.9499575439096811,0.992234535326293,197,4.0,201.0,,
9,blog,gptzero,Recall,0.9899497487437185,0.9641024146426398,0.9972395177893005,197,,,2.0,199.0
10,blog,originality,Precision,1.0,0.9731068357015575,1.0,139,0.0,139.0,,
11,blog,originality,Recall,1.0,0.9731068357015575,1.0,139,,,0.0,139.0
12,blog,pengram,Precision,1.0,0.9811546736227333,1.0,200,0.0,200.0,,
13,blog,pengram,Recall,1.0,0.9811546736227333,1.0,200,,,0.0,200.0
14,blog,roberta-base-detector,Precision,0.0,0.0,0.6576197724933469,0,2.0,2.0,,
15,blog,roberta-base-detector,Recall,0.0,1.7020320458977177e-18,0.018845326377266575,0,,,200.0,200.0
16,news,gptzero,Precision,0.9966666666666667,0.9813633063054688,0.9994113422781489,299,1.0,300.0,,
17,news,gptzero,Recall,0.9966666666666667,0.9813633063054688,0.9994113422781489,299,,,1.0,300.0
18,news,originality,Precision,0.97,0.943977460858359,0.9841381461905676,291,9.0,300.0,,
19,news,originality,Recall,1.0,0.9869711036023928,0.9999999999999998,291,,,0.0,291.0
20,news,pengram,Precision,0.9554140127388535,0.9265616095137007,0.9732580712200923,300,14.0,314.0,,
21,news,pengram,Recall,1.0,0.9873570287754537,0.9999999999999998,300,,,0.0,300.0
22,news,roberta-base-detector,Precision,0.0,0.0,0.6576197724933469,0,2.0,2.0,,
23,news,roberta-base-detector,Recall,0.0,8.563957084937438e-19,0.012642971224546036,0,,,300.0,300.0
24,novel,gptzero,Precision,1.0,0.9961230338249407,1.0,987,0.0,987.0,,
25,novel,gptzero,Recall,0.996969696969697,0.991128656644512,0.9989688999291771,987,,,3.0,990.0
26,novel,originality,Precision,1.0,0.9961579320533225,0.9999999999999998,996,0.0,996.0,,
27,novel,originality,Recall,1.0,0.9961579320533225,0.9999999999999998,996,,,0.0,996.0
28,novel,pengram,Precision,0.996011964107677,0.9897909327111715,0.9984480708410225,999,4.0,1003.0,,
29,novel,pengram,Recall,1.0,0.9961694255987266,0.9999999999999998,999,,,0.0,999.0
30,novel,roberta-base-detector,Precision,0.0,0.0,0.16112515805281938,0,20.0,20.0,,
31,novel,roberta-base-detector,Recall,0.0,2.1601063852437764e-19,0.003826758485555124,0,,,1000.0,1000.0
32,restaurant review,gptzero,Precision,0.98,0.9497129130941735,0.9921955735836506,196,4.0,200.0,,
33,restaurant review,gptzero,Recall,0.98,0.9497129130941735,0.9921955735836506,196,,,4.0,200.0
34,restaurant review,originality,Precision,0.9452054794520548,0.8956073281741972,0.9719763233942439,138,8.0,146.0,,
35,restaurant review,originality,Recall,1.0,0.972917235534427,1.0000000000000002,138,,,0.0,138.0
36,restaurant review,pengram,Precision,0.9900990099009901,0.9646247688472048,0.9972805787653733,200,2.0,202.0,,
37,restaurant review,pengram,Recall,1.0,0.9811546736227333,1.0,200,,,0.0,200.0
38,restaurant review,roberta-base-detector,Precision,0.75,0.40927543031016894,0.928520787247891,6,2.0,8.0,,
39,restaurant review,roberta-base-detector,Recall,0.03,0.013820314340111344,0.06389429245451923,6,,,194.0,200.0
40,resume,gptzero,Precision,1.0,0.9810617669433649,0.9999999999999998,199,0.0,199.0,,
41,resume,gptzero,Recall,0.995,0.9722262956021069,0.9991168312843989,199,,,1.0,200.0
42,resume,originality,Precision,1.0,0.9811546736227333,1.0,200,0.0,200.0,,
43,resume,originality,Recall,1.0,0.9811546736227333,1.0,200,,,0.0,200.0
44,resume,pengram,Precision,1.0,0.9811546736227333,1.0,200,0.0,200.0,,
45,resume,pengram,Recall,1.0,0.9811546736227333,1.0,200,,,0.0,200.0
46,resume,roberta-base-detector,Precision,0.0,4.8683609171202235e-17,0.5614970317550455,0,3.0,3.0,,
47,resume,roberta-base-detector,Recall,0.0,1.7020320458977177e-18,0.018845326377266575,0,,,200.0,200.0
