,Detector,FPR Target,Error Type,Error Rate,Count,Total,model
0,gptzero,0.0001,Type I (False Positive),0.0,0,1992,GPT-4.1
1,gptzero,0.0001,Type II (False Negative),1.0,1992,1992,GPT-4.1
2,gptzero,0.0050,Type I (False Positive),0.0,0,1992,GPT-4.1
3,gptzero,0.0050,Type II (False Negative),1.0,1992,1992,GPT-4.1
4,gptzero,0.0100,Type I (False Positive),0.007028112449799197,14,1992,GPT-4.1
5,gptzero,0.0100,Type II (False Negative),0.002008032128514056,4,1992,GPT-4.1
6,gptzero,0.0500,Type I (False Positive),0.007028112449799197,14,1992,GPT-4.1
7,gptzero,0.0500,Type II (False Negative),0.002008032128514056,4,1992,GPT-4.1
8,gptzero,0.1000,Type I (False Positive),0.007028112449799197,14,1992,GPT-4.1
9,gptzero,0.1000,Type II (False Negative),0.002008032128514056,4,1992,GPT-4.1
10,originality,0.0001,Type I (False Positive),0.000547645125958379,1,1826,GPT-4.1
11,originality,0.0001,Type II (False Negative),0.28728070175438597,524,1824,GPT-4.1
12,originality,0.0050,Type I (False Positive),0.00547645125958379,10,1826,GPT-4.1
13,originality,0.0050,Type II (False Negative),0.07182017543859649,131,1824,GPT-4.1
14,originality,0.0100,Type I (False Positive),0.0104052573932092,19,1826,GPT-4.1
15,originality,0.0100,Type II (False Negative),0.03618421052631579,66,1824,GPT-4.1
16,originality,0.0500,Type I (False Positive),0.04764512595837897,87,1826,GPT-4.1
17,originality,0.0500,Type II (False Negative),0.0,0,1824,GPT-4.1
18,originality,0.1000,Type I (False Positive),0.08762322015334063,160,1826,GPT-4.1
19,originality,0.1000,Type II (False Negative),0.0,0,1824,GPT-4.1
20,pengram,0.0001,Type I (False Positive),0.000502008032128514,1,1992,GPT-4.1
21,pengram,0.0001,Type II (False Negative),0.009538152610441768,19,1992,GPT-4.1
22,pengram,0.0050,Type I (False Positive),0.0050200803212851405,10,1992,GPT-4.1
23,pengram,0.0050,Type II (False Negative),0.001004016064257028,2,1992,GPT-4.1
24,pengram,0.0100,Type I (False Positive),0.010040160642570281,20,1992,GPT-4.1
25,pengram,0.0100,Type II (False Negative),0.000502008032128514,1,1992,GPT-4.1
26,pengram,0.0500,Type I (False Positive),0.050200803212851405,100,1992,GPT-4.1
27,pengram,0.0500,Type II (False Negative),0.0,0,1992,GPT-4.1
28,pengram,0.1000,Type I (False Positive),0.10040160642570281,200,1992,GPT-4.1
29,pengram,0.1000,Type II (False Negative),0.0,0,1992,GPT-4.1
30,roberta-base-detector,0.0001,Type I (False Positive),0.000502008032128514,1,1992,GPT-4.1
31,roberta-base-detector,0.0001,Type II (False Negative),1.0,1992,1992,GPT-4.1
32,roberta-base-detector,0.0050,Type I (False Positive),0.0050200803212851405,10,1992,GPT-4.1
33,roberta-base-detector,0.0050,Type II (False Negative),0.9984939759036144,1989,1992,GPT-4.1
34,roberta-base-detector,0.0100,Type I (False Positive),0.010040160642570281,20,1992,GPT-4.1
35,roberta-base-detector,0.0100,Type II (False Negative),0.9954819277108434,1983,1992,GPT-4.1
