,Detector,FPR Target,Precision,Recall,model
0,gptzero,0.0001,,0.0,GPT-4.1
1,gptzero,0.0050,,0.0,GPT-4.1
2,gptzero,0.0100,0.993006993006993,0.9979919678714859,GPT-4.1
3,gptzero,0.0500,0.993006993006993,0.9979919678714859,GPT-4.1
4,gptzero,0.1000,0.993006993006993,0.9979919678714859,GPT-4.1
5,originality,0.0001,0.9992313604919293,0.7127192982456141,GPT-4.1
6,originality,0.0050,0.994128009395185,0.9281798245614035,GPT-4.1
7,originality,0.0100,0.9893078221722004,0.9638157894736842,GPT-4.1
8,originality,0.0500,0.9544740973312402,1.0,GPT-4.1
9,originality,0.1000,0.9193548387096774,1.0,GPT-4.1
10,pengram,0.0001,0.9994934143870314,0.9904618473895582,GPT-4.1
11,pengram,0.0050,0.995,0.998995983935743,GPT-4.1
12,pengram,0.0100,0.9900546991546494,0.9994979919678715,GPT-4.1
13,pengram,0.0500,0.9521988527724665,1.0,GPT-4.1
14,pengram,0.1000,0.9087591240875912,1.0,GPT-4.1
15,roberta-base-detector,0.0001,0.0,0.0,GPT-4.1
16,roberta-base-detector,0.0050,0.23076923076923078,0.0015060240963855422,GPT-4.1
17,roberta-base-detector,0.0100,0.3103448275862069,0.004518072289156626,GPT-4.1
18,roberta-base-detector,0.0500,0.2773722627737226,0.019076305220883535,GPT-4.1
19,roberta-base-detector,0.1000,0.3625,0.05823293172690763,GPT-4.1
0,gptzero,0.0001,,0.0,Claude Opus 4
1,gptzero,0.0050,,0.0,Claude Opus 4
2,gptzero,0.0100,0.9923037455105183,0.9708835341365462,Claude Opus 4
3,gptzero,0.0500,0.9923037455105183,0.9708835341365462,Claude Opus 4
4,gptzero,0.1000,0.9923037455105183,0.9708835341365462,Claude Opus 4
5,originality,0.0001,0.9988776655443322,0.4871373836891078,Claude Opus 4
6,originality,0.0050,0.9929378531073446,0.7695675971538041,Claude Opus 4
7,originality,0.0100,0.9880952380952381,0.8631636562671046,Claude Opus 4
8,originality,0.0500,0.9542105263157895,0.9923371647509579,Claude Opus 4
9,originality,0.1000,0.9194765978862607,1.0,Claude Opus 4
10,pengram,0.0001,0.9994892747701737,0.982429718875502,Claude Opus 4
11,pengram,0.0050,0.9949874686716792,0.9964859437751004,Claude Opus 4
12,pengram,0.0100,0.9900447984071677,0.9984939759036144,Claude Opus 4
13,pengram,0.0500,0.9521759923481588,0.9994979919678715,Claude Opus 4
14,pengram,0.1000,0.9087174806024646,0.9994979919678715,Claude Opus 4
15,roberta-base-detector,0.0001,0.0,0.0,Claude Opus 4
16,roberta-base-detector,0.0050,0.4117647058823529,0.0035140562248995983,Claude Opus 4
17,roberta-base-detector,0.0100,0.3548387096774194,0.005522088353413655,Claude Opus 4
18,roberta-base-detector,0.0500,0.39263803680981596,0.0321285140562249,Claude Opus 4
19,roberta-base-detector,0.1000,0.41379310344827586,0.07228915662650602,Claude Opus 4
0,gptzero,0.0001,,0.0,Claude Sonnet 4
1,gptzero,0.0050,,0.0,Claude Sonnet 4
2,gptzero,0.0100,0.9934541792547835,0.9914572864321608,Claude Sonnet 4
3,gptzero,0.0500,0.9934541792547835,0.9914572864321608,Claude Sonnet 4
4,gptzero,0.1000,0.9934541792547835,0.9914572864321608,Claude Sonnet 4
5,originality,0.0001,0.999198717948718,0.6784548422198041,Claude Sonnet 4
6,originality,0.0050,0.9940155595451825,0.9036996735582155,Claude Sonnet 4
7,originality,0.0100,0.9891922639362912,0.9461371055495104,Claude Sonnet 4
8,originality,0.0500,0.9546875,0.9972796517954298,Claude Sonnet 4
9,originality,0.1000,0.9198798197295944,0.999455930359086,Claude Sonnet 4
10,pengram,0.0001,0.9994926433282597,0.9889558232931727,Claude Sonnet 4
11,pengram,0.0050,0.995,0.998995983935743,Claude Sonnet 4
12,pengram,0.0100,0.9900546991546494,0.9994979919678715,Claude Sonnet 4
13,pengram,0.0500,0.9521988527724665,1.0,Claude Sonnet 4
14,pengram,0.1000,0.9087591240875912,1.0,Claude Sonnet 4
15,roberta-base-detector,0.0001,0.0,0.0,Claude Sonnet 4
16,roberta-base-detector,0.0050,0.2857142857142857,0.002008032128514056,Claude Sonnet 4
