,detector,AUROC,Δ-Mean,FPR,FNR,Optimal Threshold,model
1,pengram,1.0,0.9886,0.001,0.0025,0.0177,GPT-4.1
0,originality,0.9987,0.8359,0.017,0.0132,0.0059,GPT-4.1
2,gptzero,0.9955,0.9907,0.007,0.002,0.5,GPT-4.1
3,roberta-base-detector,0.5722,0.035,0.5607,0.2349,0.9996,GPT-4.1
1,pengram,0.9999,0.9794,0.0015,0.005,0.0024,Claude Opus 4
0,originality,0.9957,0.6308,0.0312,0.0148,0.0028,Claude Opus 4
2,gptzero,0.9817,0.9633,0.0075,0.0291,0.7963,Claude Opus 4
3,roberta-base-detector,0.5943,0.0502,0.6034,0.1059,0.9994,Claude Opus 4
1,pengram,1.0,0.9863,0.001,0.002,0.0081,Claude Sonnet 4
0,originality,0.998,0.811,0.0219,0.0136,0.0045,Claude Sonnet 4
2,gptzero,0.9925,0.9849,0.0065,0.0085,1.0,Claude Sonnet 4
3,roberta-base-detector,0.5787,0.0512,0.5909,0.1235,0.9995,Claude Sonnet 4
0,originality,0.9997,0.9684,0.0088,0.0039,0.0133,Gemini 2.0 Flash
1,pengram,0.9997,0.9746,0.005,0.0035,0.0004,Gemini 2.0 Flash
2,gptzero,0.989,0.9779,0.0075,0.0146,1.0,Gemini 2.0 Flash
3,roberta-base-detector,0.5782,0.0356,0.5607,0.2565,0.9996,Gemini 2.0 Flash
