,Detector,FPR Target,Error Type,Error Rate,Count,Total,model
0,gptzero,0.0001,Type I (False Positive),0.0,0,164,GPT-4.1
1,gptzero,0.0001,Type II (False Negative),1.0,164,164,GPT-4.1
2,gptzero,0.0050,Type I (False Positive),0.0,0,164,GPT-4.1
3,gptzero,0.0050,Type II (False Negative),1.0,164,164,GPT-4.1
4,gptzero,0.0100,Type I (False Positive),0.024390243902439025,4,164,GPT-4.1
5,gptzero,0.0100,Type II (False Negative),0.024390243902439025,4,164,GPT-4.1
6,gptzero,0.0500,Type I (False Positive),0.024390243902439025,4,164,GPT-4.1
7,gptzero,0.0500,Type II (False Negative),0.024390243902439025,4,164,GPT-4.1
8,gptzero,0.1000,Type I (False Positive),0.024390243902439025,4,164,GPT-4.1
9,gptzero,0.1000,Type II (False Negative),0.024390243902439025,4,164,GPT-4.1
10,originality,0.0001,Type I (False Positive),0.0,0,3,GPT-4.1
11,originality,0.0001,Type II (False Negative),0.0,0,2,GPT-4.1
12,originality,0.0050,Type I (False Positive),0.0,0,3,GPT-4.1
13,originality,0.0050,Type II (False Negative),0.0,0,2,GPT-4.1
14,originality,0.0100,Type I (False Positive),0.0,0,3,GPT-4.1
15,originality,0.0100,Type II (False Negative),0.0,0,2,GPT-4.1
16,originality,0.0500,Type I (False Positive),0.6666666666666666,2,3,GPT-4.1
17,originality,0.0500,Type II (False Negative),0.0,0,2,GPT-4.1
18,originality,0.1000,Type I (False Positive),0.6666666666666666,2,3,GPT-4.1
19,originality,0.1000,Type II (False Negative),0.0,0,2,GPT-4.1
20,pengram,0.0001,Type I (False Positive),0.006097560975609756,1,164,GPT-4.1
21,pengram,0.0001,Type II (False Negative),0.11585365853658537,19,164,GPT-4.1
22,pengram,0.0050,Type I (False Positive),0.024390243902439025,4,164,GPT-4.1
23,pengram,0.0050,Type II (False Negative),0.012195121951219513,2,164,GPT-4.1
24,pengram,0.0100,Type I (False Positive),0.036585365853658534,6,164,GPT-4.1
25,pengram,0.0100,Type II (False Negative),0.006097560975609756,1,164,GPT-4.1
26,pengram,0.0500,Type I (False Positive),0.11585365853658537,19,164,GPT-4.1
27,pengram,0.0500,Type II (False Negative),0.0,0,164,GPT-4.1
