,Detector,FPR Target,Precision,Recall,model
0,gptzero,0.0001,,0.0,GPT-4.1
1,gptzero,0.0050,,0.0,GPT-4.1
2,gptzero,0.0100,0.975609756097561,0.975609756097561,GPT-4.1
3,gptzero,0.0500,0.975609756097561,0.975609756097561,GPT-4.1
4,gptzero,0.1000,0.975609756097561,0.975609756097561,GPT-4.1
5,originality,0.0001,1.0,1.0,GPT-4.1
6,originality,0.0050,1.0,1.0,GPT-4.1
7,originality,0.0100,1.0,1.0,GPT-4.1
8,originality,0.0500,0.5,1.0,GPT-4.1
9,originality,0.1000,0.5,1.0,GPT-4.1
10,pengram,0.0001,0.9931506849315068,0.8841463414634146,GPT-4.1
11,pengram,0.0050,0.9759036144578314,0.9878048780487805,GPT-4.1
12,pengram,0.0100,0.9644970414201184,0.9939024390243902,GPT-4.1
13,pengram,0.0500,0.8961748633879781,1.0,GPT-4.1
14,pengram,0.1000,0.845360824742268,1.0,GPT-4.1
15,roberta-base-detector,0.0001,,0.0,GPT-4.1
16,roberta-base-detector,0.0050,,0.0,GPT-4.1
17,roberta-base-detector,0.0100,,0.0,GPT-4.1
18,roberta-base-detector,0.0500,,0.0,GPT-4.1
19,roberta-base-detector,0.1000,1.0,0.006097560975609756,GPT-4.1
0,gptzero,0.0001,,0.0,Claude Opus 4
1,gptzero,0.0050,,0.0,Claude Opus 4
2,gptzero,0.0100,0.9724137931034482,0.8597560975609756,Claude Opus 4
3,gptzero,0.0500,0.9724137931034482,0.8597560975609756,Claude Opus 4
4,gptzero,0.1000,0.9724137931034482,0.8597560975609756,Claude Opus 4
5,originality,0.0001,1.0,0.6,Claude Opus 4
6,originality,0.0050,1.0,0.8,Claude Opus 4
7,originality,0.0100,1.0,1.0,Claude Opus 4
8,originality,0.0500,0.7142857142857143,1.0,Claude Opus 4
9,originality,0.1000,0.7142857142857143,1.0,Claude Opus 4
10,pengram,0.0001,0.9923076923076923,0.7865853658536586,Claude Opus 4
11,pengram,0.0050,0.9751552795031055,0.9573170731707317,Claude Opus 4
12,pengram,0.0100,0.9640718562874252,0.9817073170731707,Claude Opus 4
13,pengram,0.0500,0.8956043956043956,0.9939024390243902,Claude Opus 4
14,pengram,0.1000,0.844559585492228,0.9939024390243902,Claude Opus 4
15,roberta-base-detector,0.0001,,0.0,Claude Opus 4
16,roberta-base-detector,0.0050,,0.0,Claude Opus 4
17,roberta-base-detector,0.0100,,0.0,Claude Opus 4
18,roberta-base-detector,0.0500,1.0,0.006097560975609756,Claude Opus 4
19,roberta-base-detector,0.1000,1.0,0.012195121951219513,Claude Opus 4
0,gptzero,0.0001,,0.0,Claude Sonnet 4
1,gptzero,0.0050,,0.0,Claude Sonnet 4
2,gptzero,0.0100,0.9748427672955975,0.9451219512195121,Claude Sonnet 4
3,gptzero,0.0500,0.9748427672955975,0.9451219512195121,Claude Sonnet 4
4,gptzero,0.1000,0.9748427672955975,0.9451219512195121,Claude Sonnet 4
5,originality,0.0001,1.0,0.9090909090909091,Claude Sonnet 4
6,originality,0.0050,1.0,1.0,Claude Sonnet 4
7,originality,0.0100,1.0,1.0,Claude Sonnet 4
8,originality,0.0500,0.8461538461538461,1.0,Claude Sonnet 4
9,originality,0.1000,0.8461538461538461,1.0,Claude Sonnet 4
10,pengram,0.0001,0.9930555555555556,0.8719512195121951,Claude Sonnet 4
11,pengram,0.0050,0.9759036144578314,0.9878048780487805,Claude Sonnet 4
12,pengram,0.0100,0.9644970414201184,0.9939024390243902,Claude Sonnet 4
13,pengram,0.0500,0.8961748633879781,1.0,Claude Sonnet 4
14,pengram,0.1000,0.845360824742268,1.0,Claude Sonnet 4
15,roberta-base-detector,0.0001,,0.0,Claude Sonnet 4
16,roberta-base-detector,0.0050,,0.0,Claude Sonnet 4
17,roberta-base-detector,0.0100,,0.0,Claude Sonnet 4
18,roberta-base-detector,0.0500,,0.0,Claude Sonnet 4
19,roberta-base-detector,0.1000,1.0,0.006097560975609756,Claude Sonnet 4
0,gptzero,0.0001,,0.0,Gemini 2.0 Flash
1,gptzero,0.0050,,0.0,Gemini 2.0 Flash
2,gptzero,0.0100,0.971830985915493,0.8414634146341463,Gemini 2.0 Flash
3,gptzero,0.0500,0.971830985915493,0.8414634146341463,Gemini 2.0 Flash
4,gptzero,0.1000,0.971830985915493,0.8414634146341463,Gemini 2.0 Flash
5,originality,0.0001,1.0,0.3333333333333333,Gemini 2.0 Flash
6,originality,0.0050,1.0,1.0,Gemini 2.0 Flash
7,originality,0.0100,1.0,1.0,Gemini 2.0 Flash
8,originality,0.0500,0.6,1.0,Gemini 2.0 Flash
9,originality,0.1000,0.6,1.0,Gemini 2.0 Flash
10,pengram,0.0001,0.992,0.7560975609756098,Gemini 2.0 Flash
11,pengram,0.0050,0.9751552795031055,0.9573170731707317,Gemini 2.0 Flash
12,pengram,0.0100,0.9575757575757575,0.9634146341463414,Gemini 2.0 Flash
13,pengram,0.0500,0.8950276243093923,0.9878048780487805,Gemini 2.0 Flash
14,pengram,0.1000,0.84375,0.9878048780487805,Gemini 2.0 Flash
15,roberta-base-detector,0.0001,,0.0,Gemini 2.0 Flash
16,roberta-base-detector,0.0050,,0.0,Gemini 2.0 Flash
17,roberta-base-detector,0.0100,,0.0,Gemini 2.0 Flash
18,roberta-base-detector,0.0500,,0.0,Gemini 2.0 Flash
19,roberta-base-detector,0.1000,,0.0,Gemini 2.0 Flash
