,Genre,Detector,AUROC,Δ-Mean,FPR,FNR,Optimal Threshold,model
1,amazon review,pengram,0.9984,0.8971,0.0149,0.0,0.0299,GPT-4.1
0,amazon review,gptzero,0.9776,0.9552,0.0299,0.0149,1.0,GPT-4.1
2,amazon review,roberta-base-detector,0.6195,0.1506,0.3881,0.4179,0.9558,GPT-4.1
4,blog,pengram,0.9982,0.9484,0.0,0.0172,0.1954,GPT-4.1
3,blog,gptzero,0.9914,0.9828,0.0172,0.0,1.0,GPT-4.1
5,blog,roberta-base-detector,0.7298,0.2337,0.5517,0.0862,0.7581,GPT-4.1
7,news,pengram,1.0,0.8798,0.0,0.0,0.3771,GPT-4.1
6,news,gptzero,0.9444,0.8889,0.0,0.1111,1.0,GPT-4.1
8,news,roberta-base-detector,0.5679,0.1797,0.6667,0.0,0.4673,GPT-4.1
10,restaurant review,originality,1.0,0.9913,0.0,0.0,1.0,GPT-4.1
11,restaurant review,pengram,0.9978,0.621,0.0333,0.0,0.0002,GPT-4.1
9,restaurant review,gptzero,0.95,0.9,0.0333,0.0667,1.0,GPT-4.1
12,restaurant review,roberta-base-detector,0.6789,0.1931,0.4,0.2667,0.8477,GPT-4.1
1,amazon review,originality,1.0,0.7031,0.0,0.0,0.111,Claude Opus 4
2,amazon review,pengram,0.9944,0.7869,0.0149,0.0149,0.0003,Claude Opus 4
0,amazon review,gptzero,0.9254,0.8507,0.0299,0.1194,1.0,Claude Opus 4
3,amazon review,roberta-base-detector,0.7603,0.2506,0.1642,0.3731,0.9921,Claude Opus 4
5,blog,pengram,1.0,0.8718,0.0,0.0,0.0003,Claude Opus 4
4,blog,gptzero,0.9397,0.8793,0.0172,0.1034,1.0,Claude Opus 4
6,blog,roberta-base-detector,0.6822,0.1954,0.5345,0.1552,0.8139,Claude Opus 4
8,news,pengram,0.963,0.5807,0.0,0.2222,0.3537,Claude Opus 4
7,news,gptzero,0.7778,0.5556,0.0,0.4444,1.0,Claude Opus 4
9,news,roberta-base-detector,0.716,0.2601,0.1111,0.4444,0.9945,Claude Opus 4
11,restaurant review,pengram,0.9956,0.5317,0.0333,0.0,0.0001,Claude Opus 4
10,restaurant review,gptzero,0.9,0.8,0.0333,0.1667,1.0,Claude Opus 4
12,restaurant review,roberta-base-detector,0.6956,0.2171,0.4667,0.1667,0.7837,Claude Opus 4
1,amazon review,originality,1.0,0.9989,0.0,0.0,0.998,Claude Sonnet 4
2,amazon review,pengram,0.9969,0.8212,0.0299,0.0,0.0,Claude Sonnet 4
0,amazon review,gptzero,0.9552,0.9104,0.0299,0.0597,1.0,Claude Sonnet 4
3,amazon review,roberta-base-detector,0.7636,0.2558,0.403,0.1343,0.9515,Claude Sonnet 4
5,blog,pengram,1.0,0.9651,0.0,0.0,0.3128,Claude Sonnet 4
4,blog,gptzero,0.9655,0.931,0.0172,0.0517,1.0,Claude Sonnet 4
6,blog,roberta-base-detector,0.7574,0.2532,0.3103,0.2241,0.975,Claude Sonnet 4
7,news,gptzero,1.0,1.0,0.0,0.0,1.0,Claude Sonnet 4
8,news,originality,1.0,0.9943,0.0,0.0,1.0,Claude Sonnet 4
9,news,pengram,1.0,0.7786,0.0,0.0,0.1737,Claude Sonnet 4
10,news,roberta-base-detector,0.7531,0.2738,0.1111,0.4444,0.9985,Claude Sonnet 4
12,restaurant review,originality,1.0,0.9911,0.0,0.0,0.9995,Claude Sonnet 4
13,restaurant review,pengram,0.9989,0.6609,0.0,0.0333,0.0319,Claude Sonnet 4
11,restaurant review,gptzero,0.95,0.9,0.0333,0.0667,1.0,Claude Sonnet 4
14,restaurant review,roberta-base-detector,0.79,0.2789,0.4,0.1,0.8711,Claude Sonnet 4
1,amazon review,originality,1.0,0.9948,0.0,0.0,0.9907,Gemini 2.0 Flash
2,amazon review,pengram,0.9951,0.7679,0.0149,0.0149,0.0004,Gemini 2.0 Flash
0,amazon review,gptzero,0.9179,0.8358,0.0299,0.1343,1.0,Gemini 2.0 Flash
3,amazon review,roberta-base-detector,0.7117,0.2165,0.2239,0.4179,0.9877,Gemini 2.0 Flash
5,blog,pengram,0.9979,0.8287,0.0,0.0345,0.0008,Gemini 2.0 Flash
4,blog,gptzero,0.9224,0.8448,0.0172,0.1379,1.0,Gemini 2.0 Flash
6,blog,roberta-base-detector,0.6742,0.1985,0.5517,0.1207,0.7653,Gemini 2.0 Flash
8,news,originality,1.0,0.9826,0.0,0.0,0.9883,Gemini 2.0 Flash
9,news,pengram,0.9877,0.661,0.0,0.1111,0.3914,Gemini 2.0 Flash
7,news,gptzero,0.8333,0.6667,0.0,0.3333,1.0,Gemini 2.0 Flash
10,news,roberta-base-detector,0.6296,0.2459,0.5556,0.0,0.6849,Gemini 2.0 Flash
12,restaurant review,pengram,0.9856,0.4326,0.0333,0.0667,0.0001,Gemini 2.0 Flash
11,restaurant review,gptzero,0.8833,0.7667,0.0333,0.2,1.0,Gemini 2.0 Flash
13,restaurant review,roberta-base-detector,0.6922,0.2012,0.2,0.3667,0.9723,Gemini 2.0 Flash
