,Detector,FPR Target,Error Type,Error Rate,Count,Total,model
0,gptzero,0.0001,Type I (False Positive),0.0,0,1476,GPT-4.1
1,gptzero,0.0001,Type II (False Negative),1.0,1476,1476,GPT-4.1
2,gptzero,0.0050,Type I (False Positive),0.0,0,1476,GPT-4.1
3,gptzero,0.0050,Type II (False Negative),1.0,1476,1476,GPT-4.1
4,gptzero,0.0100,Type I (False Positive),0.006097560975609756,9,1476,GPT-4.1
5,gptzero,0.0100,Type II (False Negative),0.5291327913279132,781,1476,GPT-4.1
6,gptzero,0.0500,Type I (False Positive),0.006097560975609756,9,1476,GPT-4.1
7,gptzero,0.0500,Type II (False Negative),0.5291327913279132,781,1476,GPT-4.1
8,gptzero,0.1000,Type I (False Positive),0.006097560975609756,9,1476,GPT-4.1
9,gptzero,0.1000,Type II (False Negative),0.5291327913279132,781,1476,GPT-4.1
10,originality,0.0001,Type I (False Positive),0.0007535795026375283,1,1327,GPT-4.1
11,originality,0.0001,Type II (False Negative),0.9217207334273625,1307,1418,GPT-4.1
12,originality,0.0050,Type I (False Positive),0.0052750565184626974,7,1327,GPT-4.1
13,originality,0.0050,Type II (False Negative),0.7665726375176305,1087,1418,GPT-4.1
14,originality,0.0100,Type I (False Positive),0.010550113036925395,14,1327,GPT-4.1
15,originality,0.0100,Type II (False Negative),0.6974612129760226,989,1418,GPT-4.1
16,originality,0.0500,Type I (False Positive),0.04973624717407687,66,1327,GPT-4.1
17,originality,0.0500,Type II (False Negative),0.21861777150916784,310,1418,GPT-4.1
18,originality,0.1000,Type I (False Positive),0.09947249434815374,132,1327,GPT-4.1
19,originality,0.1000,Type II (False Negative),0.05782792665726375,82,1418,GPT-4.1
20,pengram,0.0001,Type I (False Positive),0.000502008032128514,1,1992,GPT-4.1
21,pengram,0.0001,Type II (False Negative),0.04969879518072289,99,1992,GPT-4.1
22,pengram,0.0050,Type I (False Positive),0.0050200803212851405,10,1992,GPT-4.1
23,pengram,0.0050,Type II (False Negative),0.023092369477911646,46,1992,GPT-4.1
24,pengram,0.0100,Type I (False Positive),0.010040160642570281,20,1992,GPT-4.1
25,pengram,0.0100,Type II (False Negative),0.017570281124497992,35,1992,GPT-4.1
26,pengram,0.0500,Type I (False Positive),0.04969879518072289,99,1992,GPT-4.1
27,pengram,0.0500,Type II (False Negative),0.010040160642570281,20,1992,GPT-4.1
28,pengram,0.1000,Type I (False Positive),0.10040160642570281,200,1992,GPT-4.1
29,pengram,0.1000,Type II (False Negative),0.0035140562248995983,7,1992,GPT-4.1
30,roberta-base-detector,0.0001,Type I (False Positive),0.000502008032128514,1,1992,GPT-4.1
31,roberta-base-detector,0.0001,Type II (False Negative),1.0,1992,1992,GPT-4.1
32,roberta-base-detector,0.0050,Type I (False Positive),0.0050200803212851405,10,1992,GPT-4.1
33,roberta-base-detector,0.0050,Type II (False Negative),0.9994979919678715,1991,1992,GPT-4.1
34,roberta-base-detector,0.0100,Type I (False Positive),0.010040160642570281,20,1992,GPT-4.1
35,roberta-base-detector,0.0100,Type II (False Negative),0.9979919678714859,1988,1992,GPT-4.1
36,roberta-base-detector,0.0500,Type I (False Positive),0.04969879518072289,99,1992,GPT-4.1
37,roberta-base-detector,0.0500,Type II (False Negative),0.9703815261044176,1933,1992,GPT-4.1
38,roberta-base-detector,0.1000,Type I (False Positive),0.10240963855421686,204,1992,GPT-4.1
39,roberta-base-detector,0.1000,Type II (False Negative),0.9156626506024096,1824,1992,GPT-4.1
0,gptzero,0.0001,Type I (False Positive),0.0,0,1459,Claude Opus 4
1,gptzero,0.0001,Type II (False Negative),1.0,1459,1459,Claude Opus 4
2,gptzero,0.0050,Type I (False Positive),0.0,0,1459,Claude Opus 4
3,gptzero,0.0050,Type II (False Negative),1.0,1459,1459,Claude Opus 4
4,gptzero,0.0100,Type I (False Positive),0.00616860863605209,9,1459,Claude Opus 4
5,gptzero,0.0100,Type II (False Negative),0.6662097326936258,972,1459,Claude Opus 4
6,gptzero,0.0500,Type I (False Positive),0.00616860863605209,9,1459,Claude Opus 4
7,gptzero,0.0500,Type II (False Negative),0.6662097326936258,972,1459,Claude Opus 4
8,gptzero,0.1000,Type I (False Positive),0.00616860863605209,9,1459,Claude Opus 4
9,gptzero,0.1000,Type II (False Negative),0.6662097326936258,972,1459,Claude Opus 4
10,originality,0.0001,Type I (False Positive),0.0007645259938837921,1,1308,Claude Opus 4
11,originality,0.0001,Type II (False Negative),0.9511494252873564,1324,1392,Claude Opus 4
12,originality,0.0050,Type I (False Positive),0.005351681957186544,7,1308,Claude Opus 4
13,originality,0.0050,Type II (False Negative),0.8290229885057471,1154,1392,Claude Opus 4
14,originality,0.0100,Type I (False Positive),0.010703363914373088,14,1308,Claude Opus 4
15,originality,0.0100,Type II (False Negative),0.7485632183908046,1042,1392,Claude Opus 4
16,originality,0.0500,Type I (False Positive),0.05045871559633028,66,1308,Claude Opus 4
17,originality,0.0500,Type II (False Negative),0.22270114942528735,310,1392,Claude Opus 4
18,originality,0.1000,Type I (False Positive),0.09403669724770643,123,1308,Claude Opus 4
19,originality,0.1000,Type II (False Negative),0.05244252873563218,73,1392,Claude Opus 4
20,pengram,0.0001,Type I (False Positive),0.000502008032128514,1,1992,Claude Opus 4
21,pengram,0.0001,Type II (False Negative),0.06827309236947791,136,1992,Claude Opus 4
22,pengram,0.0050,Type I (False Positive),0.0050200803212851405,10,1992,Claude Opus 4
23,pengram,0.0050,Type II (False Negative),0.030120481927710843,60,1992,Claude Opus 4
24,pengram,0.0100,Type I (False Positive),0.010040160642570281,20,1992,Claude Opus 4
25,pengram,0.0100,Type II (False Negative),0.021586345381526106,43,1992,Claude Opus 4
26,pengram,0.0500,Type I (False Positive),0.04969879518072289,99,1992,Claude Opus 4
27,pengram,0.0500,Type II (False Negative),0.008032128514056224,16,1992,Claude Opus 4
28,pengram,0.1000,Type I (False Positive),0.10040160642570281,200,1992,Claude Opus 4
29,pengram,0.1000,Type II (False Negative),0.004016064257028112,8,1992,Claude Opus 4
30,roberta-base-detector,0.0001,Type I (False Positive),0.000502008032128514,1,1992,Claude Opus 4
31,roberta-base-detector,0.0001,Type II (False Negative),1.0,1992,1992,Claude Opus 4
32,roberta-base-detector,0.0050,Type I (False Positive),0.0050200803212851405,10,1992,Claude Opus 4
33,roberta-base-detector,0.0050,Type II (False Negative),0.9994979919678715,1991,1992,Claude Opus 4
34,roberta-base-detector,0.0100,Type I (False Positive),0.010040160642570281,20,1992,Claude Opus 4
35,roberta-base-detector,0.0100,Type II (False Negative),0.9979919678714859,1988,1992,Claude Opus 4
36,roberta-base-detector,0.0500,Type I (False Positive),0.04969879518072289,99,1992,Claude Opus 4
37,roberta-base-detector,0.0500,Type II (False Negative),0.9573293172690763,1907,1992,Claude Opus 4
38,roberta-base-detector,0.1000,Type I (False Positive),0.10240963855421686,204,1992,Claude Opus 4
39,roberta-base-detector,0.1000,Type II (False Negative),0.891566265060241,1776,1992,Claude Opus 4
0,gptzero,0.0001,Type I (False Positive),0.0,0,1435,Claude Sonnet 4
1,gptzero,0.0001,Type II (False Negative),1.0,1434,1434,Claude Sonnet 4
2,gptzero,0.0050,Type I (False Positive),0.0,0,1435,Claude Sonnet 4
3,gptzero,0.0050,Type II (False Negative),1.0,1434,1434,Claude Sonnet 4
4,gptzero,0.0100,Type I (False Positive),0.0062717770034843206,9,1435,Claude Sonnet 4
5,gptzero,0.0100,Type II (False Negative),0.5899581589958159,846,1434,Claude Sonnet 4
6,gptzero,0.0500,Type I (False Positive),0.0062717770034843206,9,1435,Claude Sonnet 4
7,gptzero,0.0500,Type II (False Negative),0.5899581589958159,846,1434,Claude Sonnet 4
8,gptzero,0.1000,Type I (False Positive),0.0062717770034843206,9,1435,Claude Sonnet 4
9,gptzero,0.1000,Type II (False Negative),0.5899581589958159,846,1434,Claude Sonnet 4
10,originality,0.0001,Type I (False Positive),0.000778816199376947,1,1284,Claude Sonnet 4
11,originality,0.0001,Type II (False Negative),0.9526584122359796,1308,1373,Claude Sonnet 4
12,originality,0.0050,Type I (False Positive),0.005451713395638629,7,1284,Claude Sonnet 4
13,originality,0.0050,Type II (False Negative),0.8164603058994901,1121,1373,Claude Sonnet 4
14,originality,0.0100,Type I (False Positive),0.010124610591900311,13,1284,Claude Sonnet 4
15,originality,0.0100,Type II (False Negative),0.7348871085214858,1009,1373,Claude Sonnet 4
16,originality,0.0500,Type I (False Positive),0.04984423676012461,64,1284,Claude Sonnet 4
17,originality,0.0500,Type II (False Negative),0.2286962855061908,314,1373,Claude Sonnet 4
18,originality,0.1000,Type I (False Positive),0.09579439252336448,123,1284,Claude Sonnet 4
19,originality,0.1000,Type II (False Negative),0.07428987618353969,102,1373,Claude Sonnet 4
20,pengram,0.0001,Type I (False Positive),0.0005025125628140704,1,1990,Claude Sonnet 4
21,pengram,0.0001,Type II (False Negative),0.057905337361530716,115,1986,Claude Sonnet 4
22,pengram,0.0050,Type I (False Positive),0.005025125628140704,10,1990,Claude Sonnet 4
23,pengram,0.0050,Type II (False Negative),0.02014098690835851,40,1986,Claude Sonnet 4
24,pengram,0.0100,Type I (False Positive),0.010050251256281407,20,1990,Claude Sonnet 4
25,pengram,0.0100,Type II (False Negative),0.013091641490433032,26,1986,Claude Sonnet 4
26,pengram,0.0500,Type I (False Positive),0.04974874371859297,99,1990,Claude Sonnet 4
27,pengram,0.0500,Type II (False Negative),0.004531722054380665,9,1986,Claude Sonnet 4
28,pengram,0.1000,Type I (False Positive),0.1,199,1990,Claude Sonnet 4
29,pengram,0.1000,Type II (False Negative),0.0010070493454179255,2,1986,Claude Sonnet 4
30,roberta-base-detector,0.0001,Type I (False Positive),0.0005025125628140704,1,1990,Claude Sonnet 4
31,roberta-base-detector,0.0001,Type II (False Negative),1.0,1990,1990,Claude Sonnet 4
32,roberta-base-detector,0.0050,Type I (False Positive),0.005025125628140704,10,1990,Claude Sonnet 4
33,roberta-base-detector,0.0050,Type II (False Negative),0.9984924623115577,1987,1990,Claude Sonnet 4
34,roberta-base-detector,0.0100,Type I (False Positive),0.010050251256281407,20,1990,Claude Sonnet 4
35,roberta-base-detector,0.0100,Type II (False Negative),0.9964824120603015,1983,1990,Claude Sonnet 4
36,roberta-base-detector,0.0500,Type I (False Positive),0.04974874371859297,99,1990,Claude Sonnet 4
