,Detector,FPR Target,Precision,Recall,model
0,gptzero,0.0001,,0.0,GPT-4.1
1,gptzero,0.0050,,0.0,GPT-4.1
2,gptzero,0.0100,0.9872159090909091,0.4708672086720867,GPT-4.1
3,gptzero,0.0500,0.9872159090909091,0.4708672086720867,GPT-4.1
4,gptzero,0.1000,0.9872159090909091,0.4708672086720867,GPT-4.1
5,originality,0.0001,0.9910714285714286,0.07827926657263752,GPT-4.1
6,originality,0.0050,0.9792899408284024,0.23342736248236953,GPT-4.1
7,originality,0.0100,0.9683972911963883,0.3025387870239774,GPT-4.1
8,originality,0.0500,0.9437819420783645,0.7813822284908322,GPT-4.1
9,originality,0.1000,0.9100817438692098,0.9421720733427362,GPT-4.1
10,pengram,0.0001,0.9994720168954594,0.9503012048192772,GPT-4.1
11,pengram,0.0050,0.9948875255623721,0.9769076305220884,GPT-4.1
12,pengram,0.0100,0.9898836621143147,0.982429718875502,GPT-4.1
13,pengram,0.0500,0.9521970062771608,0.9899598393574297,GPT-4.1
14,pengram,0.1000,0.9084668192219679,0.9964859437751004,GPT-4.1
15,roberta-base-detector,0.0001,0.0,0.0,GPT-4.1
16,roberta-base-detector,0.0050,0.09090909090909091,0.000502008032128514,GPT-4.1
17,roberta-base-detector,0.0100,0.16666666666666666,0.002008032128514056,GPT-4.1
18,roberta-base-detector,0.0500,0.37341772151898733,0.02961847389558233,GPT-4.1
19,roberta-base-detector,0.1000,0.45161290322580644,0.08433734939759036,GPT-4.1
0,gptzero,0.0001,,0.0,Claude Opus 4
1,gptzero,0.0050,,0.0,Claude Opus 4
2,gptzero,0.0100,0.9818548387096774,0.33379026730637423,Claude Opus 4
3,gptzero,0.0500,0.9818548387096774,0.33379026730637423,Claude Opus 4
4,gptzero,0.1000,0.9818548387096774,0.33379026730637423,Claude Opus 4
5,originality,0.0001,0.9855072463768116,0.04885057471264368,Claude Opus 4
6,originality,0.0050,0.9714285714285714,0.17097701149425287,Claude Opus 4
7,originality,0.0100,0.9615384615384616,0.2514367816091954,Claude Opus 4
8,originality,0.0500,0.9425087108013938,0.7772988505747126,Claude Opus 4
9,originality,0.1000,0.9147018030513177,0.9475574712643678,Claude Opus 4
10,pengram,0.0001,0.9994614970382337,0.9317269076305221,Claude Opus 4
11,pengram,0.0050,0.9948506694129763,0.9698795180722891,Claude Opus 4
12,pengram,0.0100,0.9898425596749619,0.9784136546184738,Claude Opus 4
13,pengram,0.0500,0.952289156626506,0.9919678714859438,Claude Opus 4
14,pengram,0.1000,0.9084249084249084,0.9959839357429718,Claude Opus 4
15,roberta-base-detector,0.0001,0.0,0.0,Claude Opus 4
16,roberta-base-detector,0.0050,0.09090909090909091,0.000502008032128514,Claude Opus 4
17,roberta-base-detector,0.0100,0.16666666666666666,0.002008032128514056,Claude Opus 4
18,roberta-base-detector,0.0500,0.46195652173913043,0.0426706827309237,Claude Opus 4
19,roberta-base-detector,0.1000,0.5142857142857142,0.10843373493975904,Claude Opus 4
0,gptzero,0.0001,,0.0,Claude Sonnet 4
1,gptzero,0.0050,,0.0,Claude Sonnet 4
2,gptzero,0.0100,0.9849246231155779,0.4100418410041841,Claude Sonnet 4
3,gptzero,0.0500,0.9849246231155779,0.4100418410041841,Claude Sonnet 4
4,gptzero,0.1000,0.9849246231155779,0.4100418410041841,Claude Sonnet 4
5,originality,0.0001,0.9848484848484849,0.04734158776402039,Claude Sonnet 4
6,originality,0.0050,0.972972972972973,0.18353969410050983,Claude Sonnet 4
7,originality,0.0100,0.9655172413793104,0.2651128914785142,Claude Sonnet 4
8,originality,0.0500,0.9430097951914514,0.7713037144938092,Claude Sonnet 4
9,originality,0.1000,0.9117647058823529,0.9257101238164603,Claude Sonnet 4
10,pengram,0.0001,0.999465811965812,0.9420946626384693,Claude Sonnet 4
11,pengram,0.0050,0.9948875255623721,0.9798590130916415,Claude Sonnet 4
12,pengram,0.0100,0.98989898989899,0.9869083585095669,Claude Sonnet 4
13,pengram,0.0500,0.9523121387283237,0.9954682779456193,Claude Sonnet 4
14,pengram,0.1000,0.9088410444342647,0.998992950654582,Claude Sonnet 4
15,roberta-base-detector,0.0001,0.0,0.0,Claude Sonnet 4
