,Genre,Detector,AUROC,Δ-Mean,FPR,FNR,Optimal Threshold,model
2,amazon review,pengram,0.9947,0.7619,0.035,0.025,0.0,GPT-4.1
1,amazon review,originality,0.8942,0.2502,0.2782,0.0888,0.001,GPT-4.1
0,amazon review,gptzero,0.6508,0.3016,0.02,0.6784,1.0,GPT-4.1
3,amazon review,roberta-base-detector,0.5333,0.0338,0.365,0.565,0.994,GPT-4.1
6,blog,pengram,1.0,0.8753,0.0,0.0,0.0002,GPT-4.1
5,blog,originality,0.9963,0.3089,0.0352,0.0227,0.0008,GPT-4.1
4,blog,gptzero,0.7749,0.5445,0.005,0.445,0.5161,GPT-4.1
7,blog,roberta-base-detector,0.5055,0.0253,0.795,0.155,0.8072,GPT-4.1
10,news,pengram,0.9993,0.9645,0.0033,0.02,0.1275,GPT-4.1
9,news,originality,0.9437,0.3031,0.1781,0.0743,0.0012,GPT-4.1
8,news,gptzero,0.7417,0.4833,0.01,0.5067,1.0,GPT-4.1
11,news,roberta-base-detector,0.4371,-0.0405,0.0433,0.94,0.9998,GPT-4.1
14,novel,pengram,1.0,0.9999,0.0,0.0,0.9951,GPT-4.1
13,novel,originality,0.9942,0.0506,0.01,0.024,0.0009,GPT-4.1
12,novel,gptzero,0.7763,0.5072,0.0,0.4474,0.2407,GPT-4.1
15,novel,roberta-base-detector,0.514,-0.0215,0.49,0.431,0.9997,GPT-4.1
18,restaurant review,pengram,0.9977,0.6905,0.01,0.01,0.0,GPT-4.1
17,restaurant review,originality,0.9187,0.2474,0.087,0.1905,0.0025,GPT-4.1
16,restaurant review,gptzero,0.665,0.33,0.01,0.66,1.0,GPT-4.1
19,restaurant review,roberta-base-detector,0.4754,0.0063,0.48,0.48,0.9979,GPT-4.1
22,resume,pengram,1.0,0.9933,0.0,0.0,0.2371,GPT-4.1
21,resume,originality,0.969,0.0486,0.0833,0.0573,0.0009,GPT-4.1
20,resume,gptzero,0.6823,0.3583,0.0,0.6354,0.4643,GPT-4.1
23,resume,roberta-base-detector,0.5716,0.0117,0.6667,0.151,0.9996,GPT-4.1
2,amazon review,pengram,0.9951,0.6871,0.015,0.04,0.0001,Claude Opus 4
1,amazon review,originality,0.8931,0.2258,0.2932,0.0414,0.0009,Claude Opus 4
0,amazon review,gptzero,0.6549,0.3038,0.02,0.67,0.2667,Claude Opus 4
3,amazon review,roberta-base-detector,0.6504,0.1301,0.21,0.55,0.9994,Claude Opus 4
6,blog,pengram,0.9999,0.7918,0.0,0.005,0.0001,Claude Opus 4
5,blog,originality,0.9875,0.1993,0.0493,0.0414,0.0007,Claude Opus 4
4,blog,gptzero,0.7049,0.3968,0.005,0.585,0.3333,Claude Opus 4
7,blog,roberta-base-detector,0.5298,0.0452,0.085,0.82,0.9998,Claude Opus 4
10,news,pengram,0.9971,0.9594,0.0,0.0367,0.4565,Claude Opus 4
9,news,originality,0.9404,0.1884,0.1918,0.0438,0.0011,Claude Opus 4
